///////////////////////////////////////////////////////////15 sec///////////////////////////////////////////////////////////
Accuracy: 25.00%
Audio File: 15bow_在凌晨.wav, Best Match: 在凌晨, Best Score: 10.138275313244863
Audio File: 15torin_記得.wav, Best Match: 記得, Best Score: 11.001750918272082
///////////////////////////////////////////////////////////20 sec///////////////////////////////////////////////////////////
Accuracy: 32.56%
Audio File: 20lugo_一閃一閃亮晶晶.wav, Best Match: 一閃一閃亮晶晶, Best Score: 22.765820693969726
Audio File: 20lugo_兩隻老虎.wav, Best Match: 兩隻老虎, Best Score: 16.708858490832476
Audio File: 20lugo_分享.wav, Best Match: 當你, Best Score: 11.823637380164206
Audio File: 20lugo_分手吧.wav, Best Match: 自由, Best Score: 10.263700812040224
Audio File: 20lugo_好不好.wav, Best Match: 蝴蝶, Best Score: 8.289383888244629
Audio File: 20lugo_妹妹背著洋娃娃.wav, Best Match: 西風的話, Best Score: 9.190705299377479
Audio File: 20lugo_對面的女孩看過來.wav, Best Match: 對面的女孩看過來, Best Score: 11.048003208831826
Audio File: 20lugo_志明與春嬌.wav, Best Match: 我要的幸福, Best Score: 8.959732740051503
Audio File: 20lugo_愛你一萬年.wav, Best Match: 無情的情書, Best Score: 11.494691848755027
Audio File: 20lugo_愛情釀的酒.jpg, Best Match: 無情的情書, Best Score: 11.494691848755027
Audio File: 20lugo_愛情釀的酒.wav, Best Match: 靜止, Best Score: 7.976002693186265
Audio File: 20lugo_挪威的森林.wav, Best Match: 挪威的森林, Best Score: 14.609806465081455
Audio File: 20lugo_擁抱.wav, Best Match: 夢一場, Best Score: 9.606509822415413
Audio File: 20lugo_新不了情.wav, Best Match: 當你, Best Score: 7.764356352062902
Audio File: 20lugo_朋友.wav, Best Match: 朋友, Best Score: 20.46533529871824
Audio File: 20lugo_浪人情歌.wav, Best Match: 浪人情歌, Best Score: 17.288893450858186
Audio File: 20lugo_溫柔.wav, Best Match: 溫柔, Best Score: 14.02825074339612
Audio File: 20lugo_火車快飛.wav, Best Match: 火車快飛, Best Score: 12.081457138061523
Audio File: 20lugo_用心良苦.wav, Best Match: 小蜜蜂, Best Score: 10.550902366638184
Audio File: 20lugo_痛哭的人.wav, Best Match: 新不了情, Best Score: 6.963149330892599
Audio File: 20lugo_約定.wav, Best Match: 約定, Best Score: 6.151140880584717
Audio File: 20lugo_自由.wav, Best Match: 簡單愛, Best Score: 8.839457537379719
Audio File: 20lugo_至少還有你.wav, Best Match: 愛你一萬年, Best Score: 7.866759777069092
Audio File: 20lugo_花心.wav, Best Match: 海闊天空, Best Score: 8.408270835876477
Audio File: 20lugo_被動.wav, Best Match: 分享, Best Score: 10.390206351563732
Audio File: 20lugo_還是會寂寞.wav, Best Match: 我是一棵秋天的樹, Best Score: 8.793232284136367
Audio File: 20lugo_靜止.wav, Best Match: 泥娃娃, Best Score: 8.830310821793567
Audio File: 20torin_一閃一閃亮晶晶.wav, Best Match: 對面的女孩看過來, Best Score: 9.550967959411997
Audio File: 20torin_倒帶.wav, Best Match: 當你, Best Score: 13.203362434317429
Audio File: 20torin_凍結.wav, Best Match: 祝福, Best Score: 10.128663718415119
Audio File: 20torin_娃娃國.wav, Best Match: 娃娃國, Best Score: 10.35693780741727
Audio File: 20torin_家.wav, Best Match: 離人, Best Score: 9.323737263431989
Audio File: 20torin_小手拉大手.wav, Best Match: 猜不透, Best Score: 8.745638853135986
Audio File: 20torin_小毛驢.wav, Best Match: 開不了口, Best Score: 11.132709161331329
Audio File: 20torin_小白花.wav, Best Match: 愛我別走, Best Score: 8.405721405950883
Audio File: 20torin_小蜜蜂.wav, Best Match: 小蜜蜂, Best Score: 14.952203107125968
Audio File: 20torin_愛笑的眼睛.wav, Best Match: 聽海, Best Score: 6.606332632864808
Audio File: 20torin_溫柔.wav, Best Match: 溫柔, Best Score: 13.325373207446322
Audio File: 20torin_當你.wav, Best Match: 西風的話, Best Score: 8.421515464782752
Audio File: 20torin_當我們同在一起.wav, Best Match: 開不了口, Best Score: 13.078351897815361
Audio File: 20torin_蝴蝶.wav, Best Match: 蝴蝶, Best Score: 13.649955855721144
Audio File: 20torin_記得.wav, Best Match: 記得, Best Score: 12.615061524926613
Audio File: torin_一閃一閃亮晶晶.wav, Best Match: 對面的女孩看過來, Best Score: 9.293149590132776
